wrapperType	kind	artistId	collectionId	trackId	artistName	collectionName	trackName	collectionCensoredName	trackCensoredName	artistViewUrl	collectionViewUrl	trackViewUrl	previewUrl	artworkUrl30	artworkUrl60	artworkUrl100	collectionPrice	trackPrice	releaseDate	collectionExplicitness	trackExplicitness	discCount	discNumber	trackCount	trackNumber	trackTimeMillis	country	currency	primaryGenreName	isStreamable
track	song	292138099	1771450068	1771450279	Noize MC	Светлая полоса - Single	Светлая полоса	Светлая полоса - Single	Светлая полоса	https://music.apple.com/us/artist/noize-mc/292138099?uo=4	https://music.apple.com/us/album/%D1%81%D0%B2%D0%B5%D1%82%D0%BB%D0%B0%D1%8F-%D0%BF%D0%BE%D0%BB%D0%BE%D1%81%D0%B0/1771450068?i=1771450279&uo=4	https://music.apple.com/us/album/%D1%81%D0%B2%D0%B5%D1%82%D0%BB%D0%B0%D1%8F-%D0%BF%D0%BE%D0%BB%D0%BE%D1%81%D0%B0/1771450068?i=1771450279&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/bc/9d/af/bc9daf83-fcfb-e41d-87a8-ee2784aaf0ce/mzaf_5490781545087287881.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/ee/1e/9f/ee1e9fca-c0ef-856a-9f6a-045e05f4265b/0.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/ee/1e/9f/ee1e9fca-c0ef-856a-9f6a-045e05f4265b/0.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/ee/1e/9f/ee1e9fca-c0ef-856a-9f6a-045e05f4265b/0.jpg/100x100bb.jpg	1.29	1.29	2024-10-03T12:00:00Z	notExplicit	notExplicit	1	1	1	1	231290	USA	USD	Hip-Hop/Rap	True
track	song	292138099	1680781640	1680781645	Noize MC	Новый альбом	Вселенная бесконечна?	Новый альбом	Вселенная бесконечна?	https://music.apple.com/us/artist/noize-mc/292138099?uo=4	https://music.apple.com/us/album/%D0%B2%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F-%D0%B1%D0%B5%D1%81%D0%BA%D0%BE%D0%BD%D0%B5%D1%87%D0%BD%D0%B0/1680781640?i=1680781645&uo=4	https://music.apple.com/us/album/%D0%B2%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F-%D0%B1%D0%B5%D1%81%D0%BA%D0%BE%D0%BD%D0%B5%D1%87%D0%BD%D0%B0/1680781640?i=1680781645&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/be/2a/f5/be2af5d6-053c-011d-af87-a67ef6d6218d/mzaf_5336632910781271854.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/2a/c1/2f/2ac12f90-4265-4705-1c9a-0b901650b8e1/0.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/2a/c1/2f/2ac12f90-4265-4705-1c9a-0b901650b8e1/0.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/2a/c1/2f/2ac12f90-4265-4705-1c9a-0b901650b8e1/0.jpg/100x100bb.jpg	10.99	1.29	2012-03-30T12:00:00Z	explicit	notExplicit	1	1	21	5	260560	USA	USD	Hip-Hop/Rap	True
track	song	292138099	1798427975	1798427976	Noize MC & Monetochka	Обломки чувств - Single	Обломки чувств	Обломки чувств - Single	Обломки чувств	https://music.apple.com/us/artist/noize-mc/292138099?uo=4	https://music.apple.com/us/album/%D0%BE%D0%B1%D0%BB%D0%BE%D0%BC%D0%BA%D0%B8-%D1%87%D1%83%D0%B2%D1%81%D1%82%D0%B2/1798427975?i=1798427976&uo=4	https://music.apple.com/us/album/%D0%BE%D0%B1%D0%BB%D0%BE%D0%BC%D0%BA%D0%B8-%D1%87%D1%83%D0%B2%D1%81%D1%82%D0%B2/1798427975?i=1798427976&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/49/dc/5d/49dc5d6d-1db7-e5e5-258d-6c4ad337ac96/mzaf_3559054824237152550.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/fe/f9/00/fef90047-3f34-5517-d2be-b15e4a7d20e0/0.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/fe/f9/00/fef90047-3f34-5517-d2be-b15e4a7d20e0/0.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/fe/f9/00/fef90047-3f34-5517-d2be-b15e4a7d20e0/0.jpg/100x100bb.jpg	1.29	1.29	2025-03-07T12:00:00Z	notExplicit	notExplicit	1	1	1	1	210853	USA	USD	Hip-Hop/Rap	True
track	song	292138099	1685090699	1685090871	Noize MC	The Greatest Hits, Vol. 2	Выдыхай	The Greatest Hits, Vol. 2	Выдыхай	https://music.apple.com/us/artist/noize-mc/292138099?uo=4	https://music.apple.com/us/album/%D0%B2%D1%8B%D0%B4%D1%8B%D1%85%D0%B0%D0%B9/1685090699?i=1685090871&uo=4	https://music.apple.com/us/album/%D0%B2%D1%8B%D0%B4%D1%8B%D1%85%D0%B0%D0%B9/1685090699?i=1685090871&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/54/9b/35/549b356c-270e-1767-f611-ded8c519e064/mzaf_8295210934871585816.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/31/56/4f/31564f3e-874e-cfb8-047b-271f1f630bf9/0.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/31/56/4f/31564f3e-874e-cfb8-047b-271f1f630bf9/0.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/31/56/4f/31564f3e-874e-cfb8-047b-271f1f630bf9/0.jpg/100x100bb.jpg	10.99	1.29	2008-01-10T12:00:00Z	explicit	notExplicit	1	1	25	22	192613	USA	USD	Hip-Hop/Rap	True
track	song	292138099	1681685705	1681685707	Noize MC	Последний альбом	Устрой дестрой (feat. Чача)	Последний альбом	Устрой дестрой (feat. Чача)	https://music.apple.com/us/artist/noize-mc/292138099?uo=4	https://music.apple.com/us/album/%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9-%D0%B4%D0%B5%D1%81%D1%82%D1%80%D0%BE%D0%B9-feat-%D1%87%D0%B0%D1%87%D0%B0/1681685705?i=1681685707&uo=4	https://music.apple.com/us/album/%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9-%D0%B4%D0%B5%D1%81%D1%82%D1%80%D0%BE%D0%B9-feat-%D1%87%D0%B0%D1%87%D0%B0/1681685705?i=1681685707&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/69/c6/1b/69c61b08-b11c-8115-4ff6-464ad399cd2a/mzaf_2764704686413374049.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/62/69/58/62695844-c8f2-da28-e5ab-f7497ba5285b/0.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/62/69/58/62695844-c8f2-da28-e5ab-f7497ba5285b/0.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/62/69/58/62695844-c8f2-da28-e5ab-f7497ba5285b/0.jpg/100x100bb.jpg	10.99	1.29	2010-05-28T12:00:00Z	explicit	notExplicit	1	1	20	2	239507	USA	USD	Hip-Hop/Rap	True
track	song	292138099	1681004715	1681004910	Noize MC	Выход в город	Песня предателя	Выход в город	Песня предателя	https://music.apple.com/us/artist/noize-mc/292138099?uo=4	https://music.apple.com/us/album/%D0%BF%D0%B5%D1%81%D0%BD%D1%8F-%D0%BF%D1%80%D0%B5%D0%B4%D0%B0%D1%82%D0%B5%D0%BB%D1%8F/1681004715?i=1681004910&uo=4	https://music.apple.com/us/album/%D0%BF%D0%B5%D1%81%D0%BD%D1%8F-%D0%BF%D1%80%D0%B5%D0%B4%D0%B0%D1%82%D0%B5%D0%BB%D1%8F/1681004715?i=1681004910&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/68/b4/3a/68b43a89-2abc-6f84-3ce3-f9438ac1dfb1/mzaf_11412017775713503498.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/2a/25/2e/2a252e6d-9d99-126b-2067-cfd90acf6a74/0.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/2a/25/2e/2a252e6d-9d99-126b-2067-cfd90acf6a74/0.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/2a/25/2e/2a252e6d-9d99-126b-2067-cfd90acf6a74/0.jpg/100x100bb.jpg	10.99	1.29	2021-12-17T08:00:00Z	explicit	notExplicit	1	1	20	13	237024	USA	USD	Hip-Hop/Rap	True
track	song	292138099	1681685705	1681685909	Noize MC	Последний альбом	Ругань из-за стены	Последний альбом	Ругань из-за стены	https://music.apple.com/us/artist/noize-mc/292138099?uo=4	https://music.apple.com/us/album/%D1%80%D1%83%D0%B3%D0%B0%D0%BD%D1%8C-%D0%B8%D0%B7-%D0%B7%D0%B0-%D1%81%D1%82%D0%B5%D0%BD%D1%8B/1681685705?i=1681685909&uo=4	https://music.apple.com/us/album/%D1%80%D1%83%D0%B3%D0%B0%D0%BD%D1%8C-%D0%B8%D0%B7-%D0%B7%D0%B0-%D1%81%D1%82%D0%B5%D0%BD%D1%8B/1681685705?i=1681685909&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/b7/ec/a5/b7eca501-16a7-0d95-b5e5-451edaae5cad/mzaf_80977661579702322.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/62/69/58/62695844-c8f2-da28-e5ab-f7497ba5285b/0.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/62/69/58/62695844-c8f2-da28-e5ab-f7497ba5285b/0.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/62/69/58/62695844-c8f2-da28-e5ab-f7497ba5285b/0.jpg/100x100bb.jpg	10.99	1.29	2010-05-28T12:00:00Z	explicit	notExplicit	1	1	20	12	224587	USA	USD	Hip-Hop/Rap	True
track	song	292138099	1680623194	1680623202	Noize MC	Царь горы	Грабли	Царь горы	Грабли	https://music.apple.com/us/artist/noize-mc/292138099?uo=4	https://music.apple.com/us/album/%D0%B3%D1%80%D0%B0%D0%B1%D0%BB%D0%B8/1680623194?i=1680623202&uo=4	https://music.apple.com/us/album/%D0%B3%D1%80%D0%B0%D0%B1%D0%BB%D0%B8/1680623194?i=1680623202&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/cd/93/f0/cd93f0c5-0b93-e47c-e000-a0b195a930a8/mzaf_13609170110294252139.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/16/1e/81/161e812d-7eef-1795-5518-7decb3ca453e/0.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/16/1e/81/161e812d-7eef-1795-5518-7decb3ca453e/0.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/16/1e/81/161e812d-7eef-1795-5518-7decb3ca453e/0.jpg/100x100bb.jpg	10.99	1.29	2016-12-16T12:00:00Z	explicit	notExplicit	1	1	13	6	277500	USA	USD	Hip-Hop/Rap	True
track	song	292138099	1680376614	1680376615	Noize MC	Вояджер-1 - EP	Вояджер-1	Вояджер-1 - EP	Вояджер-1	https://music.apple.com/us/artist/noize-mc/292138099?uo=4	https://music.apple.com/us/album/%D0%B2%D0%BE%D1%8F%D0%B4%D0%B6%D0%B5%D1%80-1/1680376614?i=1680376615&uo=4	https://music.apple.com/us/album/%D0%B2%D0%BE%D1%8F%D0%B4%D0%B6%D0%B5%D1%80-1/1680376614?i=1680376615&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/23/8b/b5/238bb56b-7050-f890-c5ba-29dec37dbdef/mzaf_9534026892149491742.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/c5/45/f7/c545f7a5-688b-e2c8-c397-baab53a9cd10/0.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/c5/45/f7/c545f7a5-688b-e2c8-c397-baab53a9cd10/0.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/c5/45/f7/c545f7a5-688b-e2c8-c397-baab53a9cd10/0.jpg/100x100bb.jpg	5.16	1.29	2020-11-12T12:00:00Z	notExplicit	notExplicit	1	1	4	1	214556	USA	USD	Hip-Hop/Rap	True
track	song	292138099	1681195309	1681195311	Noize MC	Розыгрыш (Из к/ф «Розыгрыш»)	Моё море	Розыгрыш (Из к/ф «Розыгрыш»)	Моё море	https://music.apple.com/us/artist/noize-mc/292138099?uo=4	https://music.apple.com/us/album/%D0%BC%D0%BE%D1%91-%D0%BC%D0%BE%D1%80%D0%B5/1681195309?i=1681195311&uo=4	https://music.apple.com/us/album/%D0%BC%D0%BE%D1%91-%D0%BC%D0%BE%D1%80%D0%B5/1681195309?i=1681195311&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/f9/e4/2d/f9e42db5-3b66-cf8e-627f-9cced6e1e337/mzaf_640640290547973761.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/5c/73/6f/5c736ffd-27c9-59e0-1748-120c107aa139/0.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/5c/73/6f/5c736ffd-27c9-59e0-1748-120c107aa139/0.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/5c/73/6f/5c736ffd-27c9-59e0-1748-120c107aa139/0.jpg/100x100bb.jpg	10.99	1.29	2008-01-10T12:00:00Z	explicit	notExplicit	1	1	15	2	146640	USA	USD	Hip-Hop/Rap	True
